S.no.,No. of elements,insertion sort,merge sort,quick sort
1,10,23.75,22.75,30.1
2,20,118.15,86.2,111.7
3,30,336.15,198,254.6
4,40,734.6,363.1,468.1
5,50,1349.6,585.85,761.1
6,60,2254.95,866.95,1120.55
7,70,3467.2,1209.25,1559
8,80,5086.45,1616.2,2076.5
9,90,7127.3,2090,2688.7
10,100,9594.95,2632.55,3392.85
11,110,12524.8,3244.6,4164.85
12,120,16140.2,3923.35,5006.1
13,130,20386.5,4672.6,5967.05
14,140,25259.9,5497.35,7048.85
15,150,30789.8,6393.85,8175.45
16,160,37126.6,7367,9469.3
17,170,44343.8,8414.95,10865.6
18,180,52413.6,9541,12320.2
19,190,61474.5,10743.2,13929.2
20,200,71276.8,12025.8,15577.7
21,210,82050.1,13386.8,17391.9
22,220,93925.1,14823.6,19250.7
23,230,107211,16340.3,21207.1
24,240,121784,17937.8,23326.4
25,250,137369,19615,25519.6
26,260,154470,21376.5,27798.8
27,270,172650,23223.8,30202.3
28,280,192497,25151,32715.4
29,290,213340,27164,35341.1
30,300,235723,29265.1,38029.2
31,310,259732,31446.8,40919.4
32,320,285367,33710.6,43835.7
33,330,312544,36066.8,46858.9
34,340,341541,38505.4,50063.4
35,350,371872,41031,53295.4
36,360,404331,43643.6,56696.9
37,370,438576,46341.2,60329.4
38,380,474426,49128.2,64003.3
39,390,512487,52001.6,67653.8
40,400,552400,54964.4,71475.6
41,410,593980,58016.8,75494.9
42,420,638046,61158.3,79648.8
43,430,684292,64382.4,83849.7
44,440,732324,67699.3,88272.1
45,450,782574,71104.1,92760.9
46,460,835502,74604.3,97431.2
47,470,889961,78192.6,102159
48,480,946941,81868.4,106934
49,490,1.00648e+006,85630.6,111801
50,500,1.06862e+006,89486.5,116847
51,510,1.13295e+006,93433.3,121906
52,520,1.20031e+006,97471.1,127296
53,530,1.27119e+006,101602,132775
54,540,1.34357e+006,105828,138344
55,550,1.41838e+006,110147,144018
56,560,1.49732e+006,114562,149716
57,570,1.57835e+006,119074,155669
58,580,1.66169e+006,123680,161724
59,590,1.74793e+006,128378,167705
60,600,1.83681e+006,133169,174033
61,610,1.93061e+006,138054,180480
62,620,2.0258e+006,143039,187025
63,630,2.12392e+006,148117,193631
64,640,2.22519e+006,153292,200390
65,650,2.33107e+006,158560,207349
66,660,2.44013e+006,163923,214339
67,670,2.55161e+006,169383,221489
68,680,2.66722e+006,174934,228899
69,690,2.78565e+006,180587,236374
70,700,2.90709e+006,186339,243977
71,710,3.03326e+006,192182,251498
72,720,3.16233e+006,198120,259319
73,730,3.29395e+006,204160,267306
74,740,3.43136e+006,210290,275371
75,750,3.57241e+006,216525,283606
76,760,3.71664e+006,222849,291920
77,770,3.86417e+006,229271,300328
78,780,4.01489e+006,235791,308916
79,790,4.17153e+006,242412,317699
80,800,4.33172e+006,249135,326626
81,810,4.49562e+006,255955,335527
82,820,4.66154e+006,262868,344512
83,830,4.83402e+006,269881,353624
84,840,5.01029e+006,277000,363121
85,850,5.19181e+006,284215,372614
86,860,5.3766e+006,291537,382086
87,870,5.56736e+006,298946,391581
88,880,5.76135e+006,306455,401504
89,890,5.95884e+006,314069,411518
90,900,6.16173e+006,321775,421993
91,910,6.36865e+006,329582,432302
92,920,6.57952e+006,337497,442725
93,930,6.79535e+006,345502,453184
94,940,7.01661e+006,353610,463827
95,950,7.24238e+006,361820,474853
96,960,7.47239e+006,370128,486127
97,970,7.70679e+006,378538,497041
98,980,7.94584e+006,387045,508400
99,990,8.19006e+006,395651,519842
100,1000,8.43858e+006,404364,531352
